customer_id,account_id,full_name,occupation,declared_income_band,country_of_residence,account_open_date,is_pep,is_high_risk_jurisdiction
CUS-1518D2C0,RCV-6C89EA3E,Anya Brown,Politician,100k-250k,NL,2015-08-14,False,False
CUS-4B4BF41F,SND-1009424C,Chen Sharma,Import/Export Manager,25k-50k,JP,2002-05-25,False,False
CUS-F6945422,SND-7E7E9CDF,Sofia Brown,Software Engineer,50k-100k,CA,2007-04-03,False,False
CUS-09AD7886,RCV-FF51BA04,Aiko Lindqvist,Retired,250k+,SG,2000-09-08,False,False
CUS-5091DAEE,SND-42381386,James Osei,Chef,50k-100k,DE,2011-07-22,True,False
CUS-2A4C79EC,SND-17426602,Aiko Hassan,Software Engineer,250k+,UA,2009-06-12,False,True
CUS-14827F40,SND-B276A2A7,Lucas Garcia,Chef,25k-50k,FR,2002-08-02,False,False
CUS-9F97144F,SND-8A813039,Sofia Petrova,Business Owner,25k-50k,UA,2006-08-16,False,True
CUS-96321B37,SND-EEC9852C,Omar Garcia,Teacher,250k+,NO,2009-11-04,False,False
CUS-826FD98A,SND-95D16711,Chen Smith,Import/Export Manager,25k-50k,PT,2001-04-06,False,False
CUS-73EEB1F2,SND-2BA902C4,Sofia Sharma,Software Engineer,<25k,FI,2011-11-11,False,False
CUS-DE0869DB,SND-33507846,Amara Santos,Unknown,250k+,FI,2017-10-08,False,False
CUS-BAA341D3,SND-1C8135D0,Fatima Tanaka,Accountant,50k-100k,CH,2007-02-14,False,False
CUS-88E20A48,SND-B0310D9D,Kwame Wang,Doctor,25k-50k,CA,2016-11-22,True,False
CUS-7F56B26F,SND-8287384B,Diego Fernandez,Pharmacist,100k-250k,FR,2016-01-07,False,False
CUS-D2F31C36,SND-D4B70BFC,Ingrid Kim,Business Owner,25k-50k,DK,2013-02-12,True,False
CUS-2780AFE1,SND-D8CF91C1,Yusuf Brown,Freelancer,250k+,ES,2008-08-16,False,False
CUS-73A8634D,RCV-5E1D19E4,Kwame Nguyen,Politician,25k-50k,NZ,2015-02-08,False,False
CUS-29FB1295,SND-964A747B,Lucas Rossi,Consultant,25k-50k,DE,2013-11-14,False,False
CUS-D04088E5,SND-85DD197A,Maria Lindqvist,Politician,<25k,US,2002-12-03,False,False
CUS-B2295EAB,RCV-B30B0911,Mohammed Sharma,Pharmacist,25k-50k,PK,2018-01-18,False,True
CUS-7F9ECD54,RCV-8A1B1090,Amara Sharma,Pharmacist,50k-100k,BE,2006-10-11,False,False
